,Principal Component 1,Principal Component 2
2024-07-28,5.812352794364086,-2.833961699489692
2024-04-28,5.124307035278216,-1.738392061828661
2024-01-28,3.6355788217913747,-0.9826725078949746
2023-10-29,2.809260820486944,-0.19349703055868162
2023-07-30,5.626779807646847,0.5692293489684942
2023-04-30,4.454686716411384,1.1803937770477133
2023-01-29,3.1708444140901935,1.1647369664279308
2022-10-30,0.7492970110229913,1.0238961936543443
2022-07-31,1.245008601789584,0.80946448123931
2022-05-01,0.7200188235072542,0.19331155394348332
2022-01-30,1.4562988614653642,-0.17971538831905143
2021-10-31,2.480410883880389,-0.06558006719332
2021-08-01,1.7536322007599614,0.8684271628398988
2021-05-02,1.3714245280656112,0.8934439205616532
2021-01-31,1.4043046351023956,1.2962425796310288
2020-10-25,2.1727830992305246,1.6734344444936322
2020-07-26,0.5915463574268651,0.9983383366135892
2020-04-26,-1.0265664651240531,-0.5608791885456393
2020-01-26,-1.0332224549555946,-1.1261067175679629
2019-10-27,-1.483001654047281,-1.5325935630181384
2019-07-28,-1.6693279541752948,-1.7089272203061823
2019-04-28,-1.6180122024697943,-1.8602369804853087
2019-01-27,-1.854370770886292,-1.8109974224203829
2018-10-28,-1.2419208971196276,-1.5194506755710477
2018-07-29,-0.6911956419885731,-1.6398645001749752
2018-04-29,-0.8210815901641887,-1.9899484795060702
2018-01-28,-0.11374028733251833,-2.761074485331228
2017-10-29,-0.24545807283595994,-1.5983920245645513
2017-07-30,-0.3537455589431805,-0.5739022834323102
2017-04-30,-1.3422843887496307,0.7725266129211553
2017-01-29,-0.5616922492868458,4.361674078804895
2016-10-30,-1.3722248591966253,4.396361837516791
2016-07-31,-1.4530559719883454,3.899086611782418
2016-05-01,-2.361762468695387,2.2228997426565
2016-01-31,-2.7017463495946017,2.192902571400342
2015-10-25,-3.198596047133953,-0.05892155898826524
2015-07-26,-4.857969216644705,-0.5481709447666726
2015-04-26,-3.6388307190655382,-0.41355764247620336
2015-01-25,-3.5715160205469507,-1.0510843926135942
2014-10-26,-3.657578269308564,-0.9726831388865662
2014-07-27,-3.7096353020664794,-0.7957602465637025
