,Principal Component 1,Principal Component 2
2024-09-30,2.9912514694276964,-1.7025643823184116
2024-06-30,2.6218386822520325,-1.7852887817249292
2024-03-31,2.0855393343938062,-1.8276994036982657
2023-12-31,2.8208389614710234,-1.5969816885403783
2023-09-30,2.6346519724855293,-1.6439684308240996
2023-06-30,2.5314167809042667,-1.475440606762698
2023-03-31,1.9353481115644224,-1.618561675639527
2022-12-31,0.9924293778453036,-1.4268367241602635
2022-09-30,2.478965130589905,-0.6918117484546389
2022-06-30,1.9919467024330286,-0.2683781636476956
2022-03-31,3.511283843972698,0.4984368798214014
2021-12-31,3.6041434398806866,0.6429070917221359
2021-09-30,2.6430256764118174,0.6380960809398007
2021-06-30,2.7645934815836597,0.6450026971226507
2021-03-31,3.716736644710179,1.9039247780806023
2020-12-31,5.097300741329702,3.042645078380712
2020-09-30,3.218233802402663,2.3954428449058267
2020-06-30,0.7728575244634946,1.1927358186590868
2020-03-31,-1.6638966573715859,-0.9397897015545759
2019-12-31,-1.599872603996285,-0.5909829558139398
2019-09-30,-2.0078526685929696,-0.6853297329228143
2019-06-30,-2.0827200064961824,-0.9550042755931193
2019-03-31,-3.8019570082872254,-1.4250425315337185
2018-12-31,-2.5920186417012543,-1.2555822686172857
2018-09-30,-2.6862439821322814,-1.0638458034804978
2018-06-30,-3.0811404884794573,-0.7704973674707108
2018-03-31,-2.9256086935249246,-0.5253533584218298
2017-12-31,-3.1442252887422852,0.21512410227565015
2017-09-30,-2.199878189384308,1.4060483528352745
2017-06-30,-2.5531719600736835,2.508071680362185
2017-03-31,-1.9556710890848852,3.8945837361865308
2016-12-31,-2.60174989223431,2.259836853796976
2016-09-30,-1.7874901095965687,2.0870316746641735
2016-06-30,-1.5459349276932122,0.9894290944604687
2016-03-31,-2.399082188477708,0.3705328365663298
2015-12-31,-2.2268886424953513,0.08835793371331313
2015-09-30,-1.6124499561233934,-0.3362366244234666
2015-06-30,-1.8314897760513673,-0.31338125556585217
2015-03-31,-1.4725755625207875,-0.7665860582593537
2014-12-31,-0.9462865111140256,-0.7953332211851823
2014-09-30,0.3058031660521335,-0.3177107738798622
