,Principal Component 1,Principal Component 2
2024-09-30,1.328910740277914,0.6308523340339071
2024-06-30,2.7722347987090563,0.8184607972881277
2024-03-31,2.428516408573649,0.5277235545278444
2023-12-31,3.643114157683418,1.243081472775253
2023-09-30,5.216372799773626,1.279750517447248
2023-06-30,4.162264444566794,0.41166361836250454
2023-03-31,3.7720290113794444,0.1834066169786731
2022-12-31,3.5619822053649624,0.1957087187770622
2022-09-30,3.9333489008890434,0.4821676971465101
2022-06-30,1.1346930042992625,-1.0843835979258047
2022-03-31,1.1131533902903479,-1.207070678874275
2021-12-31,1.0545660461282553,-1.3126967643258953
2021-09-30,-0.09714931403793889,-1.9213478866117577
2021-06-30,-0.28192473675510304,-1.8339311500243676
2021-03-31,-1.4189187343447947,-2.344804327395812
2020-12-31,-2.7039919892032698,-2.891363478754385
2020-09-30,-1.7873854728097796,-2.296096012888208
2020-06-30,-0.6172241487897345,-1.532169236159816
2020-03-31,-0.417908505534884,-1.4332340801813386
2019-12-31,-1.4269833539458214,-1.8893267168019658
2019-09-30,-1.6654373815358778,-1.662257340186819
2019-06-30,-1.189059661250326,-1.3034814119813483
2019-03-31,-1.6687030983658235,-1.3452520937193115
2018-12-31,-1.1818221025935212,-1.122814543599186
2018-09-30,-1.0042374524647852,-1.4714198992301324
2018-06-30,-0.6339693575589389,-1.0466454581266191
2018-03-31,-0.005260712358170399,-0.9239049933626018
2017-12-31,-1.1032134411568129,-1.3449193078905215
2017-09-30,-1.4509366861577915,-0.4416397371620844
2017-06-30,-0.4336037673252919,0.06378626016459828
2017-03-31,-1.6428137175301059,0.15477407723521808
2016-12-31,-1.809198837624972,0.3057202657114616
2016-09-30,-1.3440150955086219,0.7365364967732279
2016-06-30,-1.0271589342540595,0.5621982127796101
2016-03-31,-0.6044279519545204,0.7912740672406433
2015-12-31,1.1165226895208666,1.8340677816785391
2015-09-30,1.281696969519826,2.998994758782265
2015-06-30,-0.03334269413731907,3.0401461814670183
2015-03-31,-2.428687330469775,4.721067095152944
2014-12-31,-4.3806518308719475,5.476036293746255
2014-09-30,-4.161379258436482,3.9513418971333403
